iter	Passed	Remaining
0	92	13766
1	173	12824
2	248	12200
3	329	12041
4	404	11730
5	474	11386
6	546	11171
7	616	10938
8	684	10730
9	753	10554
10	824	10420
11	897	10315
12	968	10208
13	1036	10067
14	1110	9994
15	1186	9938
16	1255	9818
17	1324	9715
18	1392	9597
19	1464	9521
20	1543	9479
21	1614	9392
22	1684	9299
23	1760	9240
24	1829	9145
25	1908	9101
26	1978	9012
27	2052	8945
28	2122	8857
29	2191	8764
30	2261	8679
31	2334	8607
32	2405	8528
33	2477	8453
34	2547	8369
35	2618	8291
36	2689	8213
37	2759	8134
38	2838	8077
39	2909	8001
40	2977	7916
41	3047	7836
42	3119	7763
43	3207	7726
44	3276	7644
45	3347	7567
46	3420	7496
47	3490	7417
48	3556	7329
49	3624	7248
50	3693	7170
51	3754	7076
52	3814	6980
53	3883	6903
54	4030	6961
55	4191	7035
56	4315	7040
57	4474	7096
58	4551	7019
59	4616	6924
60	4689	6842
61	4760	6756
62	4827	6666
63	4898	6582
64	4969	6498
65	5041	6416
66	5104	6323
67	5171	6235
68	5246	6158
69	5348	6112
70	5491	6110
71	5594	6060
72	5719	6033
73	5845	6003
74	6020	6020
75	6138	5977
76	6255	5930
77	6352	5864
78	6422	5771
79	6544	5726
80	6636	5653
81	6745	5593
82	6851	5531
83	6955	5464
84	7072	5408
85	7217	5371
86	7320	5301
87	7473	5265
88	7544	5170
89	7613	5075
90	7683	4981
91	7755	4889
92	7817	4791
93	7886	4698
94	7944	4599
95	8015	4508
96	8080	4414
97	8139	4319
98	8199	4224
99	8265	4132
100	8334	4043
101	8396	3951
102	8465	3862
103	8532	3773
104	8597	3684
105	8659	3594
106	8727	3507
107	8800	3422
108	8870	3336
109	8957	3257
110	9037	3175
111	9107	3090
112	9178	3005
113	9257	2923
114	9354	2846
115	9424	2762
116	9513	2683
117	9575	2596
118	9644	2512
119	9711	2427
120	9778	2343
121	9851	2260
122	9936	2181
123	10002	2097
124	10076	2015
125	10144	1932
126	10209	1848
127	10272	1765
128	10341	1683
129	10407	1601
130	10473	1519
131	10533	1436
132	10614	1356
133	10687	1276
134	10758	1195
135	10833	1115
136	10903	1034
137	10973	954
138	11043	873
139	11109	793
140	11177	713
141	11247	633
142	11321	554
143	11387	474
144	11456	395
145	11527	315
146	11594	236
147	11663	157
148	11734	78
149	11806	0
